"u_par","phi_LM_max","phi_LM_min","A_LM_50pc","K_LM","u_clin","phi_D_max","phi_D_min","A_D_50pc","K_D","A_d_PCR_50pc","K_d_PCR","d_PCR_max","d_LM","P_MI","d_MI","sig_het"
46.5395,0.944231,0.0122627,18.247,3.72678,4.50074,0.971775,0.00523084,23.2866,3.90737,14.6828,4.88214,51.806,18.0504,0.350776,46.4141,1.57779
40.5749,0.906438,0.0156893,19.1449,3.92828,4.2751,0.975524,0.00323,22.063,4.28012,11.3159,4.62718,57.4076,19.6247,0.407246,30.1973,1.49431
42.2097,0.984061,0.0187237,18.6461,3.80663,5.21419,0.956926,0.00319171,24.3996,7.31459,9.91005,2.9956,56.1099,15.4992,0.426258,35.6342,1.51827
44.041,0.875881,0.0178837,20.2881,4.06444,4.6632,0.987542,0.00769324,22.9508,6.00281,9.03633,3.96775,47.9719,14.9631,0.150161,24.5812,1.48127
44.1675,0.863287,0.0123789,20.0181,3.85013,4.73096,0.990166,0.00824315,22.9923,5.81454,6.34535,2.77501,75.2169,16.0381,0.556632,46.1259,1.59712
37.4075,0.985152,0.00504118,19.3321,3.16932,4.90471,0.971969,0.00503903,22.9859,5.9976,8.655,5.36779,63.022,17.1483,0.184714,31.562,1.58655
40.7427,0.872227,0.0145037,19.3852,3.58967,4.12056,0.955882,0.00666399,25.0924,5.0839,16.6978,4.5713,43.8131,17.1124,0.117545,91.69,1.52058
39.9664,0.961376,0.0110739,20.0441,3.19951,4.15817,0.933284,0.00402568,26.5989,6.59972,9.20803,3.45341,51.1831,13.5616,0.261755,24.1868,1.60719
45.2671,0.977059,0.00844655,17.3795,3.30103,4.82597,0.980845,0.00537532,23.1849,6.75098,10.4232,4.43811,52.4072,15.6552,0.203118,44.4379,1.68884
39.6387,0.952608,0.0100999,20.2237,3.43594,4.66897,0.942608,0.0146519,22.2304,6.05628,6.39444,4.88361,96.0718,15.1057,0.350025,45.0507,1.67845
38.9835,0.964289,0.00779675,18.0866,2.92193,4.58919,0.984582,0.00557926,22.1398,4.37901,11.4034,4.737,56.519,16.3801,0.600115,43.3356,1.43997
40.496,0.96817,0.00737361,17.4285,2.94871,4.22664,0.973222,0.0111044,22.3588,4.71601,7.22234,3.93009,71.0263,16.0354,0.172236,50.6406,1.5507
42.9319,0.920832,0.0104834,19.1273,3.47141,3.49807,0.979114,0.00161778,30.5197,6.54383,9.44495,3.68273,45.5748,15.4733,0.22067,95.5965,1.61813
42.6265,0.902712,0.00974784,19.4865,3.44648,4.49749,0.898778,0.00379204,30.9093,6.84814,6.59291,3.09996,91.3046,16.0815,0.211405,110.468,1.55426
40.2511,0.905619,0.0127204,19.8147,3.69597,5.80265,0.957627,0.00500814,21.4471,6.49501,8.90317,3.06659,51.3431,16.4466,0.578929,25.563,1.54238
35.8282,0.816266,0.0136577,23.768,4.1604,3.48791,0.962644,0.00390341,26.6682,5.38026,7.24354,2.34891,52.1679,15.5907,0.570867,32.0739,1.57457
43.0599,0.977735,0.010592,17.4828,3.32436,5.85508,0.980878,0.00659703,21.611,7.11225,8.21694,3.94922,61.6983,16.5407,0.510553,42.4736,1.61269
