parasite,parameter,default,reference
falciparum,dd,5,
falciparum,dt,5,
falciparum,da,195,
falciparum,du,110,
falciparum,init_ib,0,
falciparum,init_ica,0,
falciparum,init_iva,0,
falciparum,init_icm,0,
falciparum,init_ivm,0,
falciparum,init_id,0,
falciparum,rb,3650,
falciparum,rc,10950,
falciparum,rva,10950,
falciparum,rid,3650,
falciparum,rm,67.6952,
falciparum,rvm,76.8365,
falciparum,ub,7.2,
falciparum,uc,6.06,
falciparum,uv,11.4321,
falciparum,ud,9.44512,
falciparum,pcm,0.774368,
falciparum,pvm,0.195768,
falciparum,b0,0.59,
falciparum,b1,0.5,
falciparum,ib0,43.9,
falciparum,kb,2.16,
falciparum,fd0,0.007055,
falciparum,ad,7993.5,
falciparum,gammad,4.8183,
falciparum,d1,0.160527,
falciparum,id0,1.577533,
falciparum,kd,0.476614,
falciparum,phi0,0.792,
falciparum,phi1,0.00074,
falciparum,ic0,18.02366,
falciparum,kc,2.36949,
falciparum,theta0,0.0749886,
falciparum,theta1,0.0001191,
falciparum,iv0,1.09629,
falciparum,kv,2.00048,
falciparum,fv0,0.141195,
falciparum,av,2493.41,
falciparum,gammav,2.91282,
falciparum,cd,0.068,
falciparum,gamma1,1.82425,
falciparum,cu,0.0062,
falciparum,ct,0.021896,
falciparum,de,12,
falciparum,delay_gam,12.5,
falciparum,dem,10,
vivax,dd,5,
vivax,dt,1,
vivax,da,10,
vivax,dpcr_max,70,
vivax,dpcr_min,10,
vivax,kpcr,4.602,
vivax,apcr50,9.9,
vivax,init_iaa,0,
vivax,init_iam,0,
vivax,init_ica,0,
vivax,init_icm,0,
vivax,ra,3650,
vivax,rc,10950,
vivax,rm,35.148,
vivax,ua,19.77,
vivax,uc,7.85,
vivax,pcm,0.421,
vivax,b,0.5,
vivax,philm_min,0.0043,
vivax,philm_max,0.8918,
vivax,klm,2.403,
vivax,alm50,27.52,
vivax,phi0,0.8605,
vivax,phi1,0.020918070889018,
vivax,ic0,11.538,
vivax,kc,2.25,
vivax,cd,0.8,
vivax,ca,0.1,
vivax,cu,0.035,
vivax,ct,0.4,
vivax,de,10,
vivax,delay_gam,0,
vivax,dem,8.4,
vivax,f,0.02439024,
vivax,gammal,0.002610966,
vivax,init_hyp,0,
vivax,kmax,10
vivax,du,110,to_be_removed
vivax,init_iva,0,to_be_removed
vivax,init_ivm,0,to_be_removed
vivax,init_ib,0,to_be_removed
vivax,init_id,0,to_be_removed
vivax,ub,7.2,to_be_removed
vivax,uv,11.4321,to_be_removed
vivax,ud,9.44512,to_be_removed
vivax,pvm,0.195768,to_be_removed
vivax,rvm,76.8365,to_be_removed
vivax,rb,3650,to_be_removed
vivax,rva,10950,to_be_removed
vivax,rid,3650,to_be_removed
vivax,b0,0.59,to_be_removed
vivax,b1,0.5,to_be_removed
vivax,ib0,43.9,to_be_removed
vivax,kb,2.16,to_be_removed
vivax,theta0,0.0749886,to_be_removed
vivax,theta1,0.0001191,to_be_removed
vivax,iv0,1.09629,to_be_removed
vivax,kv,2.00048,to_be_removed
vivax,fv0,0.141195,to_be_removed
vivax,av,2493.41,to_be_removed
vivax,gammav,2.91282,to_be_removed
vivax,fd0,0.007055,to_be_removed
vivax,ad,7993.5,to_be_removed
vivax,gammad,4.8183,to_be_removed
vivax,d1,0.160527,to_be_removed
vivax,id0,1.577533,to_be_removed
vivax,kd,0.476614,to_be_removed
